# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
 2)   1.391 us    |  mutex_unlock();
 0)   0.858 us    |          mutex_spin_on_owner();
 1)               |  do_syscall_64() {
 3)   0.441 us    |    mutex_unlock();
 1)   0.486 us    |    mutex_lock();
 3)   8.289 us    |  }
 0)   1.539 us    |          mutex_spin_on_owner();
 1)               |  /* mutex_stop */
 1)   0.432 us    |    mutex_unlock();
 3)               |  do_syscall_64() {
 1)   3.357 us    |  }
 0)   4.067 us    |        }
 3)               |    mutex_lock() {
 0)   4.853 us    |      }
 3)               |      __mutex_lock_slowpath() {
 0)   5.654 us    |    }
 3)               |        __mutex_lock.isra.0() {
 0)               |  /* mutex_start */
 1)               |  do_syscall_64() {
 3)   0.831 us    |          mutex_spin_on_owner();
 0)   0.441 us    |    mutex_unlock();
 1)               |    mutex_lock() {
 0)   8.513 us    |  }
 3)   1.899 us    |        }
 1)               |      __mutex_lock_slowpath() {
 3)   2.688 us    |      }
 1)               |        __mutex_lock.isra.0() {
 3)   3.492 us    |    }
 1)   1.437 us    |          mutex_spin_on_owner();
 3)               |  /* mutex_start */
 0)               |  do_syscall_64() {
 3)   0.453 us    |    mutex_unlock();
 0)   0.486 us    |    mutex_lock();
 3)   6.477 us    |  }
 1)   1.680 us    |          mutex_spin_on_owner();
 0)               |  /* mutex_stop */
 0)   0.438 us    |    mutex_unlock();
 3)               |  do_syscall_64() {
 0)   3.552 us    |  }
 1)   4.710 us    |        }
 3)               |    mutex_lock() {
 1)   5.496 us    |      }
 3)               |      __mutex_lock_slowpath() {
 1)   6.633 us    |    }
 3)               |        __mutex_lock.isra.0() {
 1)               |  /* mutex_start */
 0)               |  do_syscall_64() {
 3)   1.032 us    |          mutex_spin_on_owner();
 1)   0.441 us    |    mutex_unlock();
 0)   0.492 us    |    mutex_lock();
 1)   9.645 us    |  }
 3)   1.386 us    |          mutex_spin_on_owner();
 0)               |  /* mutex_start */
 0)   0.435 us    |    mutex_unlock();
 1)               |  do_syscall_64() {
 0)   3.462 us    |  }
 3)   3.939 us    |        }
 3)   4.719 us    |      }
 1)               |    mutex_lock() {
 3)   5.535 us    |    }
 1)               |      __mutex_lock_slowpath() {
 3)               |  /* mutex_stop */
 1)               |        __mutex_lock.isra.0() {
 0)               |  do_syscall_64() {
 1)   0.549 us    |          mutex_spin_on_owner();
 3)   0.447 us    |    mutex_unlock();
 0)   0.486 us    |    mutex_lock();
 3)   8.522 us    |  }
 1)   1.563 us    |          mutex_spin_on_owner();
 0)               |  /* mutex_stop */
 0)   0.435 us    |    mutex_unlock();
 3)               |  do_syscall_64() {
 0)   3.432 us    |  }
 1)   3.720 us    |        }
 3)               |    mutex_lock() {
 1)   4.503 us    |      }
 3)               |      __mutex_lock_slowpath() {
 1)   5.312 us    |    }
 3)               |        __mutex_lock.isra.0() {
 1)               |  /* mutex_stop */
 3)   0.900 us    |          mutex_spin_on_owner();
 0)               |  do_syscall_64() {
 1)   0.441 us    |    mutex_unlock();
 0)   0.444 us    |    mutex_lock();
 1)   8.192 us    |  }
 3)   1.350 us    |          mutex_spin_on_owner();
 0)               |  /* mutex_start */
 0)   0.438 us    |    mutex_unlock();
 1)               |  do_syscall_64() {
 0)   3.270 us    |  }
 3)   3.786 us    |        }
 3)   4.575 us    |      }
 1)               |    mutex_lock() {
 3)   5.376 us    |    }
 1)               |      __mutex_lock_slowpath() {
 1)               |        __mutex_lock.isra.0() {
 3)               |  /* mutex_start */
 0)               |  do_syscall_64() {
 1)   0.666 us    |          mutex_spin_on_owner();
 3)   0.450 us    |    mutex_unlock();
 0)   0.444 us    |    mutex_lock();
 3)   8.337 us    |  }
 1)   1.572 us    |          mutex_spin_on_owner();
 0)               |  /* mutex_stop */
 0)   0.438 us    |    mutex_unlock();
 3)               |  do_syscall_64() {
 0)   3.462 us    |  }
 1)   3.780 us    |        }
 1)   4.560 us    |      }
 3)               |    mutex_lock() {
 1)   5.364 us    |    }
 3)               |      __mutex_lock_slowpath() {
 3)               |        __mutex_lock.isra.0() {
 1)               |  /* mutex_start */
 0)               |  do_syscall_64() {
 3)   0.693 us    |          mutex_spin_on_owner();
 1)   0.450 us    |    mutex_unlock();
 0)   0.444 us    |    mutex_lock();
 1)   8.301 us    |  }
 3)   1.467 us    |          mutex_spin_on_owner();
 0)               |  /* mutex_start */
 0)   0.435 us    |    mutex_unlock();
 1)               |  do_syscall_64() {
 0)   3.390 us    |  }
 3)   3.681 us    |        }
 3)   4.464 us    |      }
 1)               |    mutex_lock() {
 3)   5.274 us    |    }
 1)               |      __mutex_lock_slowpath() {
 3)               |  /* mutex_stop */
 1)               |        __mutex_lock.isra.0() {
 0)               |  do_syscall_64() {
 1)   0.597 us    |          mutex_spin_on_owner();
 3)   0.447 us    |    mutex_unlock();
 0)               |    mutex_lock() {
 3)   8.184 us    |  }
 1)   1.725 us    |        }
 0)               |      __mutex_lock_slowpath() {
 1)   2.517 us    |      }
 0)               |        __mutex_lock.isra.0() {
 1)   3.318 us    |    }
 0)   1.551 us    |          mutex_spin_on_owner();
 1)               |  /* mutex_stop */
 3)               |  do_syscall_64() {
 1)   0.438 us    |    mutex_unlock();
 3)   0.492 us    |    mutex_lock();
 1)   6.306 us    |  }
 0)   1.284 us    |          mutex_spin_on_owner();
 3)               |  /* mutex_start */
 3)   0.447 us    |    mutex_unlock();
 1)               |  do_syscall_64() {
 3)   3.372 us    |  }
 0)   4.326 us    |        }
 0)   5.106 us    |      }
 1)               |    mutex_lock() {
 0)   6.003 us    |    }
 1)               |      __mutex_lock_slowpath() {
 0)               |  /* mutex_stop */
 1)               |        __mutex_lock.isra.0() {
 3)               |  do_syscall_64() {
 1)   0.606 us    |          mutex_spin_on_owner();
 0)   0.468 us    |    mutex_unlock();
 3)   0.489 us    |    mutex_lock();
 0)   9.075 us    |  }
 1)   1.659 us    |          mutex_spin_on_owner();
 3)               |  /* mutex_stop */
 3)   0.438 us    |    mutex_unlock();
 0)               |  do_syscall_64() {
 1)   3.920 us    |        }
 0)               |    mutex_lock() {
 3)   3.552 us    |  }
 1)   4.706 us    |      }
 0)               |      __mutex_lock_slowpath() {
 1)   5.507 us    |    }
 0)               |        __mutex_lock.isra.0() {
 1)               |  /* mutex_start */
 0)   1.074 us    |          mutex_spin_on_owner();
 3)               |  do_syscall_64() {
 1)   0.435 us    |    mutex_unlock();
 3)   0.447 us    |    mutex_lock();
 1)   8.561 us    |  }
 0)   1.590 us    |          mutex_spin_on_owner();
 3)               |  /* mutex_start */
 3)   0.438 us    |    mutex_unlock();
 1)               |  do_syscall_64() {
 3)   3.408 us    |  }
 0)   4.425 us    |        }
 1)               |    mutex_lock() {
 0)   5.199 us    |      }
 1)               |      __mutex_lock_slowpath() {
 0)   6.099 us    |    }
 1)               |        __mutex_lock.isra.0() {
 0)               |  /* mutex_start */
 3)               |  do_syscall_64() {
 1)   1.026 us    |          mutex_spin_on_owner();
 0)   0.435 us    |    mutex_unlock();
 3)   0.447 us    |    mutex_lock();
 0)   9.180 us    |  }
 1)   1.227 us    |          mutex_spin_on_owner();
 3)               |  /* mutex_stop */
 3)   0.453 us    |    mutex_unlock();
 3)   3.336 us    |  }
 1)   3.783 us    |        }
 0)               |  do_syscall_64() {
 1)   4.572 us    |      }
 0)               |    mutex_lock() {
 1)   5.373 us    |    }
 0)               |      __mutex_lock_slowpath() {
 1)               |  /* mutex_stop */
 3)               |  do_syscall_64() {
 0)               |        __mutex_lock.isra.0() {
 1)   0.447 us    |    mutex_unlock();
 0)   0.477 us    |          mutex_spin_on_owner();
 3)   0.447 us    |    mutex_lock();
 1)   8.214 us    |  }
 0)   1.251 us    |          mutex_spin_on_owner();
 3)               |  /* mutex_start */
 3)   0.450 us    |    mutex_unlock();
 1)               |  do_syscall_64() {
 3)   3.318 us    |  }
 0)   3.243 us    |        }
 1)               |    mutex_lock() {
 0)   4.023 us    |      }
 1)               |      __mutex_lock_slowpath() {
 0)   4.827 us    |    }
 1)               |        __mutex_lock.isra.0() {
 0)               |  /* mutex_stop */
 1)   0.711 us    |          mutex_spin_on_owner();
 3)               |  do_syscall_64() {
 0)   0.477 us    |    mutex_unlock();
 3)               |    mutex_lock() {
 0)   7.745 us    |  }
 1)   1.845 us    |        }
 3)               |      __mutex_lock_slowpath() {
 1)   2.631 us    |      }
 3)               |        __mutex_lock.isra.0() {
 1)   3.441 us    |    }
 3)   1.431 us    |          mutex_spin_on_owner();
 1)               |  /* mutex_start */
 0)               |  do_syscall_64() {
 1)   0.435 us    |    mutex_unlock();
 0)   0.489 us    |    mutex_lock();
 1)   6.321 us    |  }
 3)   1.440 us    |          mutex_spin_on_owner();
 0)               |  /* mutex_start */
 0)   0.435 us    |    mutex_unlock();
 1)               |  do_syscall_64() {
 0)   3.363 us    |  }
 3)   4.386 us    |        }
 3)   5.163 us    |      }
 1)               |    mutex_lock() {
 3)   6.069 us    |    }
 1)               |      __mutex_lock_slowpath() {
 3)               |  /* mutex_stop */
 1)               |        __mutex_lock.isra.0() {
 0)               |  do_syscall_64() {
 1)   0.639 us    |          mutex_spin_on_owner();
 3)   0.453 us    |    mutex_unlock();
 0)   0.486 us    |    mutex_lock();
 3)   9.134 us    |  }
 1)   1.593 us    |          mutex_spin_on_owner();
 0)               |  /* mutex_stop */
 0)   0.441 us    |    mutex_unlock();
 3)               |  do_syscall_64() {
 0)   3.459 us    |  }
 1)   3.749 us    |        }
 3)               |    mutex_lock() {
 1)   4.529 us    |      }
 3)               |      __mutex_lock_slowpath() {
 1)   5.336 us    |    }
 3)               |        __mutex_lock.isra.0() {
 1)               |  /* mutex_stop */
 0)               |  do_syscall_64() {
 3)   0.873 us    |          mutex_spin_on_owner();
 1)   0.441 us    |    mutex_unlock();
 0)   0.441 us    |    mutex_lock();
 3)   1.443 us    |          mutex_spin_on_owner();
 1)   8.552 us    |  }
 0)               |  /* mutex_start */
 0)   0.441 us    |    mutex_unlock();
 0)   3.411 us    |  }
 1)               |  do_syscall_64() {
 3)   3.861 us    |        }
 3)   4.647 us    |      }
 1)               |    mutex_lock() {
 3)   5.484 us    |    }
 1)               |      __mutex_lock_slowpath() {
 3)               |  /* mutex_start */
 1)               |        __mutex_lock.isra.0() {
 0)               |  do_syscall_64() {
 3)   0.450 us    |    mutex_unlock();
 1)   0.480 us    |          mutex_spin_on_owner();
 0)   0.450 us    |    mutex_lock();
 3)   8.478 us    |  }
 1)   1.365 us    |          mutex_spin_on_owner();
 0)               |  /* mutex_stop */
 0)   0.435 us    |    mutex_unlock();
 3)               |  do_syscall_64() {
 0)   3.300 us    |  }
 1)   3.471 us    |        }
 1)   4.257 us    |      }
 3)               |    mutex_lock() {
 1)   5.061 us    |    }
 3)               |      __mutex_lock_slowpath() {
 1)               |  /* mutex_start */
 3)               |        __mutex_lock.isra.0() {
 0)               |  do_syscall_64() {
 3)   0.615 us    |          mutex_spin_on_owner();
 1)   0.456 us    |    mutex_unlock();
 0)   0.441 us    |    mutex_lock();
 1)   8.100 us    |  }
 3)   1.278 us    |          mutex_spin_on_owner();
 0)               |  /* mutex_start */
 0)   0.432 us    |    mutex_unlock();
 0)   3.303 us    |  }
 1)               |  do_syscall_64() {
 3)   3.423 us    |        }
 3)   4.209 us    |      }
 1)               |    mutex_lock() {
 3)   5.013 us    |    }
 1)               |      __mutex_lock_slowpath() {
 3)               |  /* mutex_stop */
 1)               |        __mutex_lock.isra.0() {
 0)               |  do_syscall_64() {
 3)   0.462 us    |    mutex_unlock();
 1)   0.465 us    |          mutex_spin_on_owner();
 0)   0.438 us    |    mutex_lock();
 3)   7.863 us    |  }
 1)   1.569 us    |          mutex_spin_on_owner();
 0)               |  /* mutex_stop */
 0)   0.438 us    |    mutex_unlock();
 3)               |  do_syscall_64() {
 0)   3.411 us    |  }
 1)   3.609 us    |        }
 3)               |    mutex_lock() {
 1)   4.392 us    |      }
 3)               |      __mutex_lock_slowpath() {
 1)   5.193 us    |    }
 3)               |        __mutex_lock.isra.0() {
 1)               |  /* mutex_stop */
 3)   0.885 us    |          mutex_spin_on_owner();
 0)               |  do_syscall_64() {
 1)   0.441 us    |    mutex_unlock();
 0)   0.444 us    |    mutex_lock();
 1)   8.070 us    |  }
 3)   1.491 us    |          mutex_spin_on_owner();
 0)               |  /* mutex_start */
 0)   0.432 us    |    mutex_unlock();
 1)               |  do_syscall_64() {
 0)   3.399 us    |  }
 3)   3.909 us    |        }
 1)               |    mutex_lock() {
 3)   4.694 us    |      }
 1)               |      __mutex_lock_slowpath() {
 3)   5.501 us    |    }
 1)               |        __mutex_lock.isra.0() {
 3)               |  /* mutex_start */
 0)               |  do_syscall_64() {
 1)   0.693 us    |          mutex_spin_on_owner();
 3)   0.459 us    |    mutex_unlock();
 0)               |    mutex_lock() {
 3)   8.477 us    |  }
 1)   1.830 us    |        }
 0)               |      __mutex_lock_slowpath() {
 1)   2.610 us    |      }
 0)               |        __mutex_lock.isra.0() {
 1)   3.417 us    |    }
 0)   1.458 us    |          mutex_spin_on_owner();
 1)               |  /* mutex_start */
 3)               |  do_syscall_64() {
 1)   0.435 us    |    mutex_unlock();
 3)   0.501 us    |    mutex_lock();
 1)   6.293 us    |  }
 0)   1.659 us    |          mutex_spin_on_owner();
 3)               |  /* mutex_stop */
 3)   0.438 us    |    mutex_unlock();
 1)               |  do_syscall_64() {
 3)   3.537 us    |  }
 0)   4.695 us    |        }
 1)               |    mutex_lock() {
 0)   5.472 us    |      }
 1)               |      __mutex_lock_slowpath() {
 0)   6.372 us    |    }
 1)               |        __mutex_lock.isra.0() {
 0)               |  /* mutex_stop */
 3)               |  do_syscall_64() {
 1)   0.792 us    |          mutex_spin_on_owner();
 0)   0.435 us    |    mutex_unlock();
 3)   0.492 us    |    mutex_lock();
 0)   9.297 us    |  }
 1)   1.599 us    |          mutex_spin_on_owner();
 3)               |  /* mutex_start */
 3)   0.438 us    |    mutex_unlock();
 0)               |  do_syscall_64() {
 3)   3.444 us    |  }
 1)   3.912 us    |        }
 0)               |    mutex_lock() {
 1)   4.701 us    |      }
 0)               |      __mutex_lock_slowpath() {
 1)   5.511 us    |    }
 0)               |        __mutex_lock.isra.0() {
 1)               |  /* mutex_stop */
 0)   0.891 us    |          mutex_spin_on_owner();
 3)               |  do_syscall_64() {
 1)   0.450 us    |    mutex_unlock();
 3)   0.447 us    |    mutex_lock();
 1)   8.505 us    |  }
 0)   1.452 us    |          mutex_spin_on_owner();
 3)               |  /* mutex_stop */
 3)   0.435 us    |    mutex_unlock();
 1)               |  do_syscall_64() {
 3)   3.300 us    |  }
 0)   3.875 us    |        }
 1)               |    mutex_lock() {
 0)   4.661 us    |      }
 1)               |      __mutex_lock_slowpath() {
 0)   5.501 us    |    }
 1)               |        __mutex_lock.isra.0() {
 0)               |  /* mutex_start */
 3)               |  do_syscall_64() {
 1)   0.678 us    |          mutex_spin_on_owner();
 0)   0.447 us    |    mutex_unlock();
 3)   0.444 us    |    mutex_lock();
 0)   8.369 us    |  }
 1)   1.452 us    |          mutex_spin_on_owner();
 3)               |  /* mutex_start */
 3)   0.435 us    |    mutex_unlock();
 0)               |  do_syscall_64() {
 3)   3.330 us    |  }
 1)   3.669 us    |        }
 1)   4.455 us    |      }
 0)               |    mutex_lock() {
 1)   5.256 us    |    }
 0)               |      __mutex_lock_slowpath() {
 1)               |  /* mutex_start */
 0)               |        __mutex_lock.isra.0() {
 3)               |  do_syscall_64() {
 0)   0.669 us    |          mutex_spin_on_owner();
 1)   0.480 us    |    mutex_unlock();
 3)   0.447 us    |    mutex_lock();
 1)   8.268 us    |  }
 0)   1.788 us    |          mutex_spin_on_owner();
 3)               |  /* mutex_stop */
 3)   0.672 us    |    mutex_unlock();
 1)               |  do_syscall_64() {
 3)   3.636 us    |  }
 0)   4.059 us    |        }
 1)               |    mutex_lock() {
 0)   4.839 us    |      }
 1)               |      __mutex_lock_slowpath() {
 1)               |        __mutex_lock.isra.0() {
 0)   5.655 us    |    }
 3)               |  do_syscall_64() {
 1)   1.326 us    |          mutex_spin_on_owner();
 0)               |  /* mutex_stop */
 3)               |    mutex_lock() {
 0)   0.438 us    |    mutex_unlock();
 3)               |      __mutex_lock_slowpath() {
 3)               |        __mutex_lock.isra.0() {
 0)   9.054 us    |  }
 1)   2.427 us    |        }
 3)   2.190 us    |          mutex_spin_on_owner();
 1)   3.219 us    |      }
 1)   4.029 us    |    }
 1)               |  /* mutex_stop */
 0)               |  do_syscall_64() {
 1)   0.438 us    |    mutex_unlock();
 0)   0.489 us    |    mutex_lock();
 1)   6.986 us    |  }
 3)   1.611 us    |          mutex_spin_on_owner();
 0)               |  /* mutex_start */
 0)   0.435 us    |    mutex_unlock();
 1)               |  do_syscall_64() {
 0)   3.480 us    |  }
 3)   5.301 us    |        }
 1)               |    mutex_lock() {
 3)   6.075 us    |      }
 1)               |      __mutex_lock_slowpath() {
 3)   6.957 us    |    }
 1)               |        __mutex_lock.isra.0() {
 3)               |  /* mutex_start */
 1)   0.945 us    |          mutex_spin_on_owner();
 0)               |  do_syscall_64() {
 3)   0.456 us    |    mutex_unlock();
 0)   0.519 us    |    mutex_lock();
 3)   9.933 us    |  }
 1)   1.665 us    |          mutex_spin_on_owner();
 0)               |  /* mutex_stop */
 0)   0.438 us    |    mutex_unlock();
 3)               |  do_syscall_64() {
 0)   3.546 us    |  }
 1)   4.215 us    |        }
 3)               |    mutex_lock() {
 1)   4.995 us    |      }
 3)               |      __mutex_lock_slowpath() {
 1)   5.802 us    |    }
 3)               |        __mutex_lock.isra.0() {
 1)               |  /* mutex_start */
 0)               |  do_syscall_64() {
 3)   0.735 us    |          mutex_spin_on_owner();
 1)   0.447 us    |    mutex_unlock();
 0)   0.444 us    |    mutex_lock();
 1)   8.679 us    |  }
 3)   1.419 us    |          mutex_spin_on_owner();
 0)               |  /* mutex_start */
 0)   0.432 us    |    mutex_unlock();
 1)               |  do_syscall_64() {
 0)   3.297 us    |  }
 3)   3.687 us    |        }
 3)   4.464 us    |      }
 1)               |    mutex_lock() {
 3)   5.301 us    |    }
 1)               |      __mutex_lock_slowpath() {
 3)               |  /* mutex_stop */
 1)               |        __mutex_lock.isra.0() {
 0)               |  do_syscall_64() {
 3)   0.468 us    |    mutex_unlock();
 1)   0.462 us    |          mutex_spin_on_owner();
 0)               |    mutex_lock() {
 3)   8.187 us    |  }
 1)   1.668 us    |        }
 0)               |      __mutex_lock_slowpath() {
 1)   2.448 us    |      }
 0)               |        __mutex_lock.isra.0() {
 1)   3.261 us    |    }
 0)   1.782 us    |          mutex_spin_on_owner();
 1)               |  /* mutex_stop */
 3)               |  do_syscall_64() {
 3)               |    mutex_lock() {
 1)   0.666 us    |    mutex_unlock();
 3)               |      __mutex_lock_slowpath() {
 3)               |        __mutex_lock.isra.0() {
 1)   6.489 us    |  }
 0)   2.802 us    |        }
 3)   2.190 us    |          mutex_spin_on_owner();
 0)   3.591 us    |      }
 0)   4.506 us    |    }
 0)               |  /* mutex_stop */
 1)               |  do_syscall_64() {
 0)   0.438 us    |    mutex_unlock();
 1)   0.486 us    |    mutex_lock();
 0)   7.590 us    |  }
 3)   1.457 us    |          mutex_spin_on_owner();
 1)               |  /* mutex_start */
 1)   0.432 us    |    mutex_unlock();
 0)               |  do_syscall_64() {
 1)   3.470 us    |  }
 3)   5.156 us    |        }
 0)               |    mutex_lock() {
 3)   5.939 us    |      }
 3)   6.782 us    |    }
 0)               |      __mutex_lock_slowpath() {
 0)               |        __mutex_lock.isra.0() {
 3)               |  /* mutex_start */
 1)               |  do_syscall_64() {
 0)   0.690 us    |          mutex_spin_on_owner();
 3)   0.474 us    |    mutex_unlock();
 1)   0.486 us    |    mutex_lock();
 3)   9.734 us    |  }
 0)   1.617 us    |          mutex_spin_on_owner();
 1)               |  /* mutex_stop */
 1)   0.444 us    |    mutex_unlock();
 3)               |  do_syscall_64() {
 1)   3.453 us    |  }
 0)   3.885 us    |        }
 3)               |    mutex_lock() {
 0)   4.662 us    |      }
 3)               |      __mutex_lock_slowpath() {
 0)   5.511 us    |    }
 3)               |        __mutex_lock.isra.0() {
 0)               |  /* mutex_start */
 1)               |  do_syscall_64() {
 3)   0.828 us    |          mutex_spin_on_owner();
 0)   0.438 us    |    mutex_unlock();
 1)   0.441 us    |    mutex_lock();
 0)   8.487 us    |  }
 3)   1.365 us    |          mutex_spin_on_owner();
 1)               |  /* mutex_start */
 1)   0.447 us    |    mutex_unlock();
 0)               |  do_syscall_64() {
 1)   3.330 us    |  }
 3)   3.720 us    |        }
 3)   4.503 us    |      }
 0)               |    mutex_lock() {
 3)   5.304 us    |    }
 0)               |      __mutex_lock_slowpath() {
 3)               |  /* mutex_stop */
 0)               |        __mutex_lock.isra.0() {
 1)               |  do_syscall_64() {
 0)   0.552 us    |          mutex_spin_on_owner();
 3)   0.447 us    |    mutex_unlock();
 1)   0.444 us    |    mutex_lock();
 3)   8.346 us    |  }
 0)   1.584 us    |          mutex_spin_on_owner();
 1)               |  /* mutex_stop */
 1)   0.438 us    |    mutex_unlock();
 3)               |  do_syscall_64() {
 1)   3.438 us    |  }
 0)   3.659 us    |        }
 3)               |    mutex_lock() {
 0)   4.439 us    |      }
 3)               |      __mutex_lock_slowpath() {
 0)   5.246 us    |    }
 3)               |        __mutex_lock.isra.0() {
 0)               |  /* mutex_stop */
 1)               |  do_syscall_64() {
 3)   0.792 us    |          mutex_spin_on_owner();
 0)   0.438 us    |    mutex_unlock();
 1)   0.441 us    |    mutex_lock();
 0)   8.132 us    |  }
 3)   1.503 us    |          mutex_spin_on_owner();
 1)               |  /* mutex_start */
 1)   0.432 us    |    mutex_unlock();
 0)               |  do_syscall_64() {
 1)   3.387 us    |  }
 3)   3.828 us    |        }
 0)               |    mutex_lock() {
 3)   4.611 us    |      }
 0)               |      __mutex_lock_slowpath() {
 3)   5.415 us    |    }
 0)               |        __mutex_lock.isra.0() {
 3)               |  /* mutex_start */
 1)               |  do_syscall_64() {
 0)   0.819 us    |          mutex_spin_on_owner();
 3)   0.456 us    |    mutex_unlock();
 1)   0.444 us    |    mutex_lock();
 3)   8.391 us    |  }
 0)   1.443 us    |          mutex_spin_on_owner();
 1)               |  /* mutex_stop */
 1)   0.441 us    |    mutex_unlock();
 3)               |  do_syscall_64() {
 1)   3.309 us    |  }
 0)   3.780 us    |        }
 0)   4.560 us    |      }
 3)               |    mutex_lock() {
 0)   5.370 us    |    }
 3)               |      __mutex_lock_slowpath() {
 0)               |  /* mutex_start */
 3)               |        __mutex_lock.isra.0() {
 1)               |  do_syscall_64() {
 0)   0.447 us    |    mutex_unlock();
 3)   0.485 us    |          mutex_spin_on_owner();
 1)   0.444 us    |    mutex_lock();
 0)   8.256 us    |  }
 3)   1.368 us    |          mutex_spin_on_owner();
 1)               |  /* mutex_start */
 1)   0.444 us    |    mutex_unlock();
 0)               |  do_syscall_64() {
 1)   3.299 us    |  }
 3)   3.452 us    |        }
 3)   4.238 us    |      }
 0)               |    mutex_lock() {
 3)   5.039 us    |    }
 0)               |      __mutex_lock_slowpath() {
 3)               |  /* mutex_stop */
 0)               |        __mutex_lock.isra.0() {
 1)               |  do_syscall_64() {
 3)   0.495 us    |    mutex_unlock();
 0)   0.486 us    |          mutex_spin_on_owner();
 1)   0.444 us    |    mutex_lock();
 3)   7.958 us    |  }
 0)   1.605 us    |          mutex_spin_on_owner();
 1)               |  /* mutex_stop */
 1)   0.432 us    |    mutex_unlock();
 3)               |  do_syscall_64() {
 1)   3.504 us    |  }
 0)   3.834 us    |        }
 3)               |    mutex_lock() {
 0)   4.620 us    |      }
 3)               |      __mutex_lock_slowpath() {
 0)   5.433 us    |    }
 3)               |        __mutex_lock.isra.0() {
 0)               |  /* mutex_stop */
 3)   1.095 us    |          mutex_spin_on_owner();
 1)               |  do_syscall_64() {
 0)   0.435 us    |    mutex_unlock();
 1)   0.444 us    |    mutex_lock();
 0)   8.460 us    |  }
 3)   1.332 us    |          mutex_spin_on_owner();
 1)               |  /* mutex_start */
 1)   0.441 us    |    mutex_unlock();
 0)               |  do_syscall_64() {
 1)   3.417 us    |  }
 3)   3.978 us    |        }
 3)   4.761 us    |      }
 0)               |    mutex_lock() {
 3)   5.613 us    |    }
 0)               |      __mutex_lock_slowpath() {
 0)               |        __mutex_lock.isra.0() {
 3)               |  /* mutex_start */
 1)               |  do_syscall_64() {
 0)   0.597 us    |          mutex_spin_on_owner();
 3)   0.447 us    |    mutex_unlock();
 1)   0.456 us    |    mutex_lock();
 3)   8.538 us    |  }
 0)   1.572 us    |          mutex_spin_on_owner();
 1)               |  /* mutex_stop */
 1)   0.444 us    |    mutex_unlock();
 3)               |  do_syscall_64() {
 1)   3.474 us    |  }
 0)   3.768 us    |        }
 3)               |    mutex_lock() {
 0)   4.559 us    |      }
 3)               |      __mutex_lock_slowpath() {
 0)   5.363 us    |    }
 3)               |        __mutex_lock.isra.0() {
 0)               |  /* mutex_start */
 1)               |  do_syscall_64() {
 3)   0.846 us    |          mutex_spin_on_owner();
 0)   0.447 us    |    mutex_unlock();
 1)   0.441 us    |    mutex_lock();
 3)   1.314 us    |          mutex_spin_on_owner();
 0)   8.378 us    |  }
 1)               |  /* mutex_start */
 1)   0.432 us    |    mutex_unlock();
 1)   3.297 us    |  }
 0)               |  do_syscall_64() {
 3)   3.933 us    |        }
 3)   4.713 us    |      }
 0)               |    mutex_lock() {
 3)   5.523 us    |    }
 0)               |      __mutex_lock_slowpath() {
 3)               |  /* mutex_stop */
 0)               |        __mutex_lock.isra.0() {
 1)               |  do_syscall_64() {
 3)   0.447 us    |    mutex_unlock();
 0)   0.477 us    |          mutex_spin_on_owner();
 1)   0.447 us    |    mutex_lock();
 3)   8.517 us    |  }
 0)   1.248 us    |          mutex_spin_on_owner();
 1)               |  /* mutex_stop */
 1)   0.447 us    |    mutex_unlock();
 3)               |  do_syscall_64() {
 1)   3.426 us    |  }
 0)   3.372 us    |        }
 0)   4.161 us    |      }
 3)               |    mutex_lock() {
 0)   4.965 us    |    }
 3)               |      __mutex_lock_slowpath() {
 3)               |        __mutex_lock.isra.0() {
 0)               |  /* mutex_stop */
 1)               |  do_syscall_64() {
 3)   0.711 us    |          mutex_spin_on_owner();
 0)   0.453 us    |    mutex_unlock();
 1)   0.447 us    |    mutex_lock();
 0)   7.995 us    |  }
 3)   1.392 us    |          mutex_spin_on_owner();
 1)               |  /* mutex_start */
 1)   0.438 us    |    mutex_unlock();
 0)               |  do_syscall_64() {
 1)   3.408 us    |  }
 3)   3.657 us    |        }
 3)   4.443 us    |      }
 0)               |    mutex_lock() {
 3)   5.247 us    |    }
 0)               |      __mutex_lock_slowpath() {
 0)               |        __mutex_lock.isra.0() {
 3)               |  /* mutex_start */
 1)               |  do_syscall_64() {
 0)   0.741 us    |          mutex_spin_on_owner();
 3)   0.453 us    |    mutex_unlock();
 1)   0.444 us    |    mutex_lock();
 3)   8.234 us    |  }
 0)   1.428 us    |          mutex_spin_on_owner();
 1)               |  /* mutex_stop */
 1)   0.450 us    |    mutex_unlock();
 3)               |  do_syscall_64() {
 1)   3.342 us    |  }
 0)   3.693 us    |        }
 0)   4.473 us    |      }
 3)               |    mutex_lock() {
 0)   5.277 us    |    }
 3)               |      __mutex_lock_slowpath() {
 0)               |  /* mutex_start */
 3)               |        __mutex_lock.isra.0() {
 1)               |  do_syscall_64() {
 3)   0.615 us    |          mutex_spin_on_owner();
 0)   0.474 us    |    mutex_unlock();
 1)   0.444 us    |    mutex_lock();
 0)   8.316 us    |  }
 3)   1.323 us    |          mutex_spin_on_owner();
 1)               |  /* mutex_start */
 1)   0.435 us    |    mutex_unlock();
 1)   3.294 us    |  }
 0)               |  do_syscall_64() {
 3)   3.423 us    |        }
